,Fig Index,DOI,Mistake,Fig ID,Journal,Measurand,Absolute/Relative,Measurement Type,Measurand Level I,Measurand Level II,Log transformation
1789,10.1126:scisignal.abp8923_zero_fig1,10.1126:scisignal.abp8923,zero,1,sci_signal,Tm (°C),Relative,Measured value,Temperature,Temperature,No
1790,10.1126:scisignal.abp9586_zero_fig1,10.1126:scisignal.abp9586,zero,1,sci_signal,log2 fold change,Relative,Ratio,Ratio,Ratio,2
1791,10.1126:scisignal.abp9586_zero_fig2,10.1126:scisignal.abp9586,zero,2,sci_signal,OxPTM fold change,Relative,Ratio,Ratio,Ratio,No
1792,10.1126:scisignal.abp9586_zero_fig3,10.1126:scisignal.abp9586,zero,3,sci_signal,Total protein fold change,Relative,Ratio,Ratio,Ratio,No
1793,10.1126:scisignal.abp9586_zero_fig4,10.1126:scisignal.abp9586,zero,4,sci_signal,% viable - annexin/PI negative,Relative,Percentage,Cell viability,Percentage,No
1794,10.1126:scisignal.abp9586_zero_fig5,10.1126:scisignal.abp9586,zero,5,sci_signal,Viable cells Annexin/PI -ve (%),Relative,Percentage,Cell viability,Percentage,No
1795,10.1126:scisignal.abp9586_zero_fig6,10.1126:scisignal.abp9586,zero,6,sci_signal,Viable cells Annexin/PI -ve (%),Relative,Percentage,Cell viability,Percentage,No
1796,10.1126:scisignal.abq3362_zero_fig1,10.1126:scisignal.abq3362,zero,1,sci_signal,Percents of CD206+ cells,Relative,Percentage,Cell percentage,Percentage,No
1797,10.1126:scisignal.abq5096_zero_fig1,10.1126:scisignal.abq5096,zero,1,sci_signal,CAL520 (fold),Relative,Ratio,Ratio,Ratio,No
1798,10.1126:scisignal.abq5096_zero_fig2,10.1126:scisignal.abq5096,zero,2,sci_signal,CAL520 (fold),Relative,Ratio,Ratio,Ratio,No
1799,10.1126:scisignal.add0509_zero_fig1,10.1126:scisignal.add0509,zero,1,sci_signal,Current density at time = 0 s (pA/pF),Absolute,Measured value,Others,Others,No
1800,10.1126:scisignal.add0509_zero_fig2,10.1126:scisignal.add0509,zero,2,sci_signal,E_app at time = 0 s,Absolute,Measured value,Energy,Others,No
1801,10.1126:scisignal.add0509_zero_fig3,10.1126:scisignal.add0509,zero,3,sci_signal,E_app at time = 0 s,Absolute,Measured value,Energy,Others,No
1802,10.1126:scisignal.add4900_zero_fig1,10.1126:scisignal.add4900,zero,1,sci_signal,Lung wet.dry ratio,Relative,Ratio,Ratio,Ratio,No
1803,10.1126:scisignal.ade0385_zero_fig1,10.1126:scisignal.ade0385,zero,1,sci_signal,PFKL activity (RU),Relative,Ratio,Ratio,Ratio,No
1804,10.1126:scisignal.ade4984_zero_fig1,10.1126:scisignal.ade4984,zero,1,sci_signal,Withdrawal threshold (P.I.),Relative,Measured value,Others,Others,No
1805,10.1126:scisignal.ade4984_zero_fig2,10.1126:scisignal.ade4984,zero,2,sci_signal,Withdrawal threshold (P.I.),Relative,Measured value,Others,Others,No
1806,10.1126:scisignal.ade6325_zero_fig1,10.1126:scisignal.ade6325,zero,1,sci_signal,Synaptophysin (#/1000 µm2),Absolute,Measured value,Count,Count,No
1807,10.1126:scisignal.ade6325_zero_fig2,10.1126:scisignal.ade6325,zero,2,sci_signal,PSD-95 (#/1000 µm2),Absolute,Measured value,Count,Count,No
1808,10.1126:scisignal.ade6737_zero_fig1,10.1126:scisignal.ade6737,zero,1,sci_signal,"S1P1-Nluc/V-mGi proximity (fold over mock, vehicle)",Relative,Ratio,Ratio,Ratio,No
1809,10.1126:scisignal.ade6737_zero_fig2,10.1126:scisignal.ade6737,zero,2,sci_signal,Nluc-SK1/Rab5a-mVenus proximity (Fold over mock),Relative,Ratio,Ratio,Ratio,No
1810,10.1126:scisignal.ade6737_zero_fig3,10.1126:scisignal.ade6737,zero,3,sci_signal,Nluc-SK1/KRas-mVenus proximity (Fold over mock),Relative,Ratio,Ratio,Ratio,No
1811,10.1126:scisignal.adf9535_zero_fig1,10.1126:scisignal.adf9535,zero,1,sci_signal,SOCE (F-F0),Relative,Calculated value,Relative luminescence,Fluorescence,No
1812,10.1126:scisignal.adf9535_zero_fig2,10.1126:scisignal.adf9535,zero,2,sci_signal,SOCE (F-F0),Relative,Calculated value,Relative luminescence,Fluorescence,No
1813,10.1126:scisignal.adf9535_zero_fig3,10.1126:scisignal.adf9535,zero,3,sci_signal,SOCE (F-F0),Relative,Calculated value,Relative luminescence,Fluorescence,No
1814,10.1126:scisignal.adf9535_zero_fig4,10.1126:scisignal.adf9535,zero,4,sci_signal,SOCE (F-F0),Relative,Calculated value,Relative luminescence,Fluorescence,No
1815,10.1126:scisignal.adh4210_zero_fig1,10.1126:scisignal.adh4210,zero,1,sci_signal,Relative expression (log10),Relative,Ratio,Ratio,Ratio,10
1816,10.1126:scisignal.adi3966_zero_fig1,10.1126:scisignal.adi3966,zero,1,sci_signal,Membrane potential (mV),Absolute,Measured value,Potential,Others,No
1817,10.1126:scisignal.adi3966_zero_fig2,10.1126:scisignal.adi3966,zero,2,sci_signal,Membrane potential (mV),Absolute,Measured value,Potential,Others,No
1818,10.1126:scitranslmed.abj3289_zero_fig1,10.1126:scitranslmed.abj3289,zero,1,sci_transl_med,Ear thickness (mm),Absolute,Measured value,Length,Length,No
1819,10.1126:scitranslmed.abj3289_zero_fig2,10.1126:scitranslmed.abj3289,zero,2,sci_transl_med,Gene expression (relative to untreated),Relative,Ratio,Ratio,Ratio,No
1820,10.1126:scitranslmed.abj3289_zero_fig3,10.1126:scitranslmed.abj3289,zero,3,sci_transl_med,Gene expression (relative to untreated),Relative,Ratio,Ratio,Ratio,No
1821,10.1126:scitranslmed.abm6863_zero_fig1,10.1126:scitranslmed.abm6863,zero,1,sci_transl_med,iwFAF,Relative,Percentage,Percentage,Percentage,No
1822,10.1126:scitranslmed.abn5029_zero_fig1,10.1126:scitranslmed.abn5029,zero,1,sci_transl_med,CD200+ in T cells (%),Relative,Percentage,Percentage,Percentage,No
1823,10.1126:scitranslmed.abn5029_zero_fig2,10.1126:scitranslmed.abn5029,zero,2,sci_transl_med,CD200+PD-1+ in CD8+ T cells (%),Relative,Percentage,Percentage,Percentage,No
1824,10.1126:scitranslmed.abn9674_zero_fig1,10.1126:scitranslmed.abn9674,zero,1,sci_transl_med,G2-M cells %,Relative,Percentage,Cell percentage,Percentage,No
1825,10.1126:scitranslmed.abo1557_zero_fig1,10.1126:scitranslmed.abo1557,zero,1,sci_transl_med,mtDNA lesions/10 kb,Absolute,Measured value,Count,Count,No
1826,10.1126:scitranslmed.abo1557_zero_fig2,10.1126:scitranslmed.abo1557,zero,2,sci_transl_med,mtDNA lesions,Absolute,Measured value,Count,Count,No
1827,10.1126:scitranslmed.abo1815_zero_fig1,10.1126:scitranslmed.abo1815,zero,1,sci_transl_med,Peak expiratory flow:peak inspiratory flow ratio,Relative,Ratio,Ratio,Ratio,No
1828,10.1126:scitranslmed.abo1930_zero_fig1,10.1126:scitranslmed.abo1930,zero,1,sci_transl_med,DC-SIGN MFI,Relative,Calculated value,Relative luminescence,Fluorescence,No
1829,10.1126:scitranslmed.abo1930_zero_fig2,10.1126:scitranslmed.abo1930,zero,2,sci_transl_med,MFI,Relative,Calculated value,Relative luminescence,Fluorescence,No
1830,10.1126:scitranslmed.abo3332_zero_fig1,10.1126:scitranslmed.abo3332,zero,1,sci_transl_med,log10 RNA copies/lung,Absolute,Measured value,Count,Count,10
1831,10.1126:scitranslmed.abo3332_zero_fig2,10.1126:scitranslmed.abo3332,zero,2,sci_transl_med,log10 RNA copies/lung,Absolute,Measured value,Count,Count,10
1832,10.1126:scitranslmed.abo3332_zero_fig3,10.1126:scitranslmed.abo3332,zero,3,sci_transl_med,log10 RNA copies/lung,Absolute,Measured value,Count,Count,10
1833,10.1126:scitranslmed.abo5217_zero_fig1,10.1126:scitranslmed.abo5217,zero,1,sci_transl_med,Ct.Th (mm),Absolute,Measured value,Length,Length,No
1834,10.1126:scitranslmed.abo5217_zero_fig2,10.1126:scitranslmed.abo5217,zero,2,sci_transl_med,Ct.A/TA,Relative,Ratio,Ratio,Ratio,No
1835,10.1126:scitranslmed.abp8982_zero_fig1,10.1126:scitranslmed.abp8982,zero,1,sci_transl_med,Weighted average F1 score,Relative,Calculated value,Prediction metric,Prediction metric,No
1836,10.1126:scitranslmed.abp8982_zero_fig2,10.1126:scitranslmed.abp8982,zero,2,sci_transl_med,Weighted average F1 score,Relative,Calculated value,Prediction metric,Prediction metric,No
1837,10.1126:scitranslmed.abp9952_zero_fig1,10.1126:scitranslmed.abp9952,zero,1,sci_transl_med,Total mesh area (x1e6 pixel),Absolute,Measured value,Area,Others,No
1838,10.1126:scitranslmed.abp9952_zero_fig2,10.1126:scitranslmed.abp9952,zero,2,sci_transl_med,ROS level (normalized to cell number),Relative,Ratio,Ratio,Ratio,No
1839,10.1126:scitranslmed.abp9952_zero_fig3,10.1126:scitranslmed.abp9952,zero,3,sci_transl_med,Cytoplasmic Na+ (SBFI-AM F340/F380),Relative,Ratio,Ratio,Ratio,No
1840,10.1126:scitranslmed.abp9952_zero_fig4,10.1126:scitranslmed.abp9952,zero,4,sci_transl_med,Total tube length (x1e4 pixel),Absolute,Measured value,Length,Length,No
1841,10.1126:scitranslmed.abq2915_zero_fig1,10.1126:scitranslmed.abq2915,zero,1,sci_transl_med,% from vehicle phosphatase pmol/µg protein,Relative,Percentage,Percentage,Percentage,No
1842,10.1126:scitranslmed.abq2915_zero_fig2,10.1126:scitranslmed.abq2915,zero,2,sci_transl_med,% from vehicle phosphatase pmol/µg protein,Relative,Percentage,Percentage,Percentage,No
1843,10.1126:scitranslmed.abq3679_zero_fig1,10.1126:scitranslmed.abq3679,zero,1,sci_transl_med,% G0 phase HSC,Relative,Percentage,Cell percentage,Percentage,No
1844,10.1126:scitranslmed.abq3679_zero_fig2,10.1126:scitranslmed.abq3679,zero,2,sci_transl_med,% G0-G1 phase HSC,Relative,Percentage,Cell percentage,Percentage,No
1845,10.1126:scitranslmed.abq3679_zero_fig3,10.1126:scitranslmed.abq3679,zero,3,sci_transl_med,Total FGF23 (RU/mL),Absolute,Measured value,Concentration,Concentration,No
1846,10.1126:scitranslmed.abq5068_zero_fig1,10.1126:scitranslmed.abq5068,zero,1,sci_transl_med,Picomolar (10^x),Absolute,Measured value,Concentration,Concentration,10
1847,10.1126:scitranslmed.abq5068_zero_fig2,10.1126:scitranslmed.abq5068,zero,2,sci_transl_med,T cell activation (normalized),Relative,Ratio,Ratio,Ratio,No
1848,10.1126:scitranslmed.abq5068_zero_fig3,10.1126:scitranslmed.abq5068,zero,3,sci_transl_med,T cell activation (normalized),Relative,Ratio,Ratio,Ratio,No
1849,10.1126:scitranslmed.abq6089_zero_fig1,10.1126:scitranslmed.abq6089,zero,1,sci_transl_med,p-p38/p28 (WBL),Relative,Ratio,Ratio,Ratio,No
1850,10.1126:scitranslmed.abq6089_zero_fig10,10.1126:scitranslmed.abq6089,zero,10,sci_transl_med,Human alpha-syn (ng/mg),Absolute,Measured value,Concentration,Concentration,No
1851,10.1126:scitranslmed.abq6089_zero_fig11,10.1126:scitranslmed.abq6089,zero,11,sci_transl_med,Human alpha-syn (ng/mg),Absolute,Measured value,Concentration,Concentration,No
1852,10.1126:scitranslmed.abq6089_zero_fig12,10.1126:scitranslmed.abq6089,zero,12,sci_transl_med,p38 gamma/beta-actin (Par),Relative,Ratio,Ratio,Ratio,No
1853,10.1126:scitranslmed.abq6089_zero_fig13,10.1126:scitranslmed.abq6089,zero,13,sci_transl_med,p38 gamma/beta-actin (Cyto),Relative,Ratio,Ratio,Ratio,No
1854,10.1126:scitranslmed.abq6089_zero_fig14,10.1126:scitranslmed.abq6089,zero,14,sci_transl_med,Iba-1-positive cells (counts per 0.1 mm2),Absolute,Measured value,Cell count,Count,No
1855,10.1126:scitranslmed.abq6089_zero_fig15,10.1126:scitranslmed.abq6089,zero,15,sci_transl_med,Iba-1-positive cells (counts per 0.1 mm2),Absolute,Measured value,Cell count,Count,No
1856,10.1126:scitranslmed.abq6089_zero_fig16,10.1126:scitranslmed.abq6089,zero,16,sci_transl_med,Gfap optical density,Absolute,Measured value,Others,Others,No
1857,10.1126:scitranslmed.abq6089_zero_fig17,10.1126:scitranslmed.abq6089,zero,17,sci_transl_med,Gfap optical density,Absolute,Measured value,Others,Others,No
1858,10.1126:scitranslmed.abq6089_zero_fig18,10.1126:scitranslmed.abq6089,zero,18,sci_transl_med,p38 gamma/beta-actin (Par),Relative,Ratio,Ratio,Ratio,No
1859,10.1126:scitranslmed.abq6089_zero_fig19,10.1126:scitranslmed.abq6089,zero,19,sci_transl_med,p38 gamma/beta-actin (Cyto),Relative,Ratio,Ratio,Ratio,No
1860,10.1126:scitranslmed.abq6089_zero_fig2,10.1126:scitranslmed.abq6089,zero,2,sci_transl_med,Cell viability (% of control),Relative,Percentage,Cell viability,Percentage,No
1861,10.1126:scitranslmed.abq6089_zero_fig20,10.1126:scitranslmed.abq6089,zero,20,sci_transl_med,p-Atf2/Atf2 (Cyto),Relative,Ratio,Ratio,Ratio,No
1862,10.1126:scitranslmed.abq6089_zero_fig3,10.1126:scitranslmed.abq6089,zero,3,sci_transl_med,Cell viability (% of control),Relative,Percentage,Cell viability,Percentage,No
1863,10.1126:scitranslmed.abq6089_zero_fig4,10.1126:scitranslmed.abq6089,zero,4,sci_transl_med,TH-positive cells (counts x1e3),Absolute,Measured value,Cell count,Count,No
1864,10.1126:scitranslmed.abq6089_zero_fig5,10.1126:scitranslmed.abq6089,zero,5,sci_transl_med,TH optical density (ST),Absolute,Measured value,Others,Others,No
1865,10.1126:scitranslmed.abq6089_zero_fig6,10.1126:scitranslmed.abq6089,zero,6,sci_transl_med,NeuN-positive cells (counts x1e3),Absolute,Measured value,Cell count,Count,No
1866,10.1126:scitranslmed.abq6089_zero_fig7,10.1126:scitranslmed.abq6089,zero,7,sci_transl_med,NeuN-positive cells (counts x1e3),Absolute,Measured value,Cell count,Count,No
1867,10.1126:scitranslmed.abq6089_zero_fig8,10.1126:scitranslmed.abq6089,zero,8,sci_transl_med,NeuN-positive cells (counts x1e3),Absolute,Measured value,Cell count,Count,No
1868,10.1126:scitranslmed.abq6089_zero_fig9,10.1126:scitranslmed.abq6089,zero,9,sci_transl_med,p38 gamma+/synaptophysin+ (% of colocalization),Relative,Percentage,Percentage,Percentage,No
1869,10.1126:scitranslmed.abq6225_zero_fig1,10.1126:scitranslmed.abq6225,zero,1,sci_transl_med,Liver weight/bw (x100g),Absolute,Measured value,Mass,Mass,No
1870,10.1126:scitranslmed.abq6225_zero_fig2,10.1126:scitranslmed.abq6225,zero,2,sci_transl_med,Serum albumin (g/L),Absolute,Measured value,Concentration,Concentration,No
1871,10.1126:scitranslmed.abq6225_zero_fig3,10.1126:scitranslmed.abq6225,zero,3,sci_transl_med,Liver weight/bw (x100g),Absolute,Measured value,Mass,Mass,No
1872,10.1126:scitranslmed.abq6225_zero_fig4,10.1126:scitranslmed.abq6225,zero,4,sci_transl_med,Serum total protein (g/L),Absolute,Measured value,Concentration,Concentration,No
1873,10.1126:scitranslmed.abq6225_zero_fig5,10.1126:scitranslmed.abq6225,zero,5,sci_transl_med,Serum albumin (g/L),Absolute,Measured value,Concentration,Concentration,No
1874,10.1126:scitranslmed.abq6288_zero_fig1,10.1126:scitranslmed.abq6288,zero,1,sci_transl_med,C18:1n9/C18:0,Relative,Ratio,Ratio,Ratio,No
1875,10.1126:scitranslmed.abq6288_zero_fig2,10.1126:scitranslmed.abq6288,zero,2,sci_transl_med,C18:1n9/C18:0,Relative,Ratio,Ratio,Ratio,No
1876,10.1126:scitranslmed.abq6288_zero_fig3,10.1126:scitranslmed.abq6288,zero,3,sci_transl_med,C18:1n9/C18:0,Relative,Ratio,Ratio,Ratio,No
1877,10.1126:scitranslmed.add1175_zero_fig1,10.1126:scitranslmed.add1175,zero,1,sci_transl_med,Ratio,Relative,Ratio,Ratio,Ratio,No
1878,10.1126:scitranslmed.add4897_zero_fig1,10.1126:scitranslmed.add4897,zero,1,sci_transl_med,HbA1c (%),Relative,Percentage,Percentage,Percentage,No
1879,10.1126:scitranslmed.add5275_zero_fig1,10.1126:scitranslmed.add5275,zero,1,sci_transl_med,% PAX7: MYOD/Ki67+,Relative,Ratio,Ratio,Ratio,No
1880,10.1126:scitranslmed.add5275_zero_fig2,10.1126:scitranslmed.add5275,zero,2,sci_transl_med,Exhaustion time (min),Absolute,Measured value,Time,Time,No
1881,10.1126:scitranslmed.add5275_zero_fig3,10.1126:scitranslmed.add5275,zero,3,sci_transl_med,% PAX7: MYOD/EdU+,Relative,Ratio,Ratio,Ratio,No
1882,10.1126:scitranslmed.add5275_zero_fig4,10.1126:scitranslmed.add5275,zero,4,sci_transl_med,% PAX7:MYOD+,Relative,Ratio,Ratio,Ratio,No
1883,10.1126:scitranslmed.add8280_zero_fig1,10.1126:scitranslmed.add8280,zero,1,sci_transl_med,H3/HPRT1,Relative,Ratio,Ratio,Ratio,No
1884,10.1126:scitranslmed.ade0550_zero_fig1,10.1126:scitranslmed.ade0550,zero,1,sci_transl_med,nsp14 Ct value,Absolute,Measured value,Constant,Constant,No
1885,10.1126:scitranslmed.ade2581_zero_fig1,10.1126:scitranslmed.ade2581,zero,1,sci_transl_med,K63-linked Ub TBET (MFI),Relative,Calculated value,Relative luminescence,Fluorescence,No
1886,10.1126:scitranslmed.ade2581_zero_fig2,10.1126:scitranslmed.ade2581,zero,2,sci_transl_med,K48-linked Ub TBET (MFI),Relative,Calculated value,Relative luminescence,Fluorescence,No
1887,10.1126:scitranslmed.ade3157_zero_fig1,10.1126:scitranslmed.ade3157,zero,1,sci_transl_med,CD68+VSIG4+ per HPF,Absolute,Measured value,Cell count,Count,No
1888,10.1126:scitranslmed.ade3157_zero_fig2,10.1126:scitranslmed.ade3157,zero,2,sci_transl_med,CD68+VSIG4+ per HPF,Absolute,Measured value,Cell count,Count,No
1889,10.1126:scitranslmed.ade6023_zero_fig1,10.1126:scitranslmed.ade6023,zero,1,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1890,10.1126:scitranslmed.ade6023_zero_fig2,10.1126:scitranslmed.ade6023,zero,2,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1891,10.1126:scitranslmed.ade6023_zero_fig3,10.1126:scitranslmed.ade6023,zero,3,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1892,10.1126:scitranslmed.ade6023_zero_fig4,10.1126:scitranslmed.ade6023,zero,4,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1893,10.1126:scitranslmed.ade6023_zero_fig5,10.1126:scitranslmed.ade6023,zero,5,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1894,10.1126:scitranslmed.ade6023_zero_fig6,10.1126:scitranslmed.ade6023,zero,6,sci_transl_med,log PRNT50 (50% plaque reduction),Absolute,Measured value,Titer,Concentration,10
1895,10.1126:scitranslmed.ade6509_zero_fig1,10.1126:scitranslmed.ade6509,zero,1,sci_transl_med,Grip strength (N),Absolute,Measured value,Others,Others,No
1896,10.1126:scitranslmed.ade6509_zero_fig2,10.1126:scitranslmed.ade6509,zero,2,sci_transl_med,Grip strength (N),Absolute,Measured value,Others,Others,No
1897,10.1126:scitranslmed.ade6509_zero_fig3,10.1126:scitranslmed.ade6509,zero,3,sci_transl_med,Circularity,Absolute,Measured value,Constant,Constant,No
1898,10.1126:scitranslmed.ade7028_zero_fig1,10.1126:scitranslmed.ade7028,zero,1,sci_transl_med,T-bet MFI (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1899,10.1126:scitranslmed.ade7028_zero_fig2,10.1126:scitranslmed.ade7028,zero,2,sci_transl_med,T-bet MFI,Relative,Ratio,Ratio,Ratio,No
1900,10.1126:scitranslmed.ade7028_zero_fig3,10.1126:scitranslmed.ade7028,zero,3,sci_transl_med,T-bet MFI (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1901,10.1126:scitranslmed.ade7028_zero_fig4,10.1126:scitranslmed.ade7028,zero,4,sci_transl_med,Total STAT1 (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1902,10.1126:scitranslmed.ade7028_zero_fig5,10.1126:scitranslmed.ade7028,zero,5,sci_transl_med,Total STAT1 (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1903,10.1126:scitranslmed.ade7028_zero_fig6,10.1126:scitranslmed.ade7028,zero,6,sci_transl_med,Total STAT1 (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1904,10.1126:scitranslmed.ade7028_zero_fig7,10.1126:scitranslmed.ade7028,zero,7,sci_transl_med,Total STAT1 (normalized to WT),Relative,Ratio,Ratio,Ratio,No
1905,10.1126:scitranslmed.ade8732_zero_fig1,10.1126:scitranslmed.ade8732,zero,1,sci_transl_med,Relative cell viability,Relative,Ratio,Ratio,Ratio,No
1906,10.1126:scitranslmed.ade8732_zero_fig2,10.1126:scitranslmed.ade8732,zero,2,sci_transl_med,TNFalpha+RAW264.7 (MFI),Relative,Calculated value,Relative luminescence,Fluorescence,No
1907,10.1126:scitranslmed.adf1690_zero_fig1,10.1126:scitranslmed.adf1690,zero,1,sci_transl_med,AF T2 (ms),Absolute,Measured value,Time,Time,No
1908,10.1126:scitranslmed.adf1690_zero_fig2,10.1126:scitranslmed.adf1690,zero,2,sci_transl_med,NP T2 (ms),Absolute,Measured value,Time,Time,No
1909,10.1126:scitranslmed.adf2059_zero_fig1,10.1126:scitranslmed.adf2059,zero,1,sci_transl_med,Ratio (S/S+L),Relative,Ratio,Ratio,Ratio,No
1910,10.1126:scitranslmed.adf2059_zero_fig2,10.1126:scitranslmed.adf2059,zero,2,sci_transl_med,Ratio (S/S+L),Relative,Ratio,Ratio,Ratio,No
1911,10.1126:scitranslmed.adf2059_zero_fig3,10.1126:scitranslmed.adf2059,zero,3,sci_transl_med,% Ceacaml-S (S/S+L),Relative,Percentage,Percentage,Percentage,No
1912,10.1126:scitranslmed.adf2059_zero_fig4,10.1126:scitranslmed.adf2059,zero,4,sci_transl_med,Ratio (S/S+L),Relative,Ratio,Ratio,Ratio,No
1913,10.1126:scitranslmed.adf3843_zero_fig1,10.1126:scitranslmed.adf3843,zero,1,sci_transl_med,Bronchial wall thickness (µm),Absolute,Measured value,Length,Length,No
1914,10.1126:scitranslmed.adf3843_zero_fig2,10.1126:scitranslmed.adf3843,zero,2,sci_transl_med,Bronchial wall thickness (µm),Absolute,Measured value,Length,Length,No
1915,10.1126:scitranslmed.adf3843_zero_fig3,10.1126:scitranslmed.adf3843,zero,3,sci_transl_med,Bronchial wall thickness (µm),Absolute,Measured value,Length,Length,No
1916,10.1126:scitranslmed.adf4100_zero_fig1,10.1126:scitranslmed.adf4100,zero,1,sci_transl_med,N copies/mg (log10),Absolute,Measured value,Count,Count,10
1917,10.1126:scitranslmed.adf4100_zero_fig2,10.1126:scitranslmed.adf4100,zero,2,sci_transl_med,N copies/mg (log10),Absolute,Measured value,Count,Count,10
1918,10.1126:scitranslmed.adf5302_zero_fig1,10.1126:scitranslmed.adf5302,zero,1,sci_transl_med,Phagocytic MdCs (fold change),Relative,Ratio,Ratio,Ratio,No
1919,10.1126:scitranslmed.adf6732_zero_fig1,10.1126:scitranslmed.adf6732,zero,1,sci_transl_med,log10 p value,Absolute,Measured value,p-value,Statistics,10
1920,10.1126:scitranslmed.adf8977_zero_fig1,10.1126:scitranslmed.adf8977,zero,1,sci_transl_med,18F-FDG PET.MRI Delta SUVR (region/cerebellum),Relative,Measured value,Others,Others,No
1921,10.1126:scitranslmed.adg1656_zero_fig1,10.1126:scitranslmed.adg1656,zero,1,sci_transl_med,beta7+ CD4+ T cells (%),Relative,Percentage,Cell percentage,Percentage,No
1922,10.1126:scitranslmed.adg1656_zero_fig2,10.1126:scitranslmed.adg1656,zero,2,sci_transl_med,beta7+ CD4+ T cells (%),Relative,Percentage,Cell percentage,Percentage,No
1923,10.1126:scitranslmed.adg2887_zero_fig1,10.1126:scitranslmed.adg2887,zero,1,sci_transl_med,Injectability efficiency (%),Relative,Percentage,Percentage,Percentage,No
1924,10.1126:scitranslmed.adg3983_zero_fig1,10.1126:scitranslmed.adg3983,zero,1,sci_transl_med,-LOG10 FET p-value,Absolute,Measured value,p-value,Statistics,10
1925,10.1126:scitranslmed.adg6752_zero_fig1,10.1126:scitranslmed.adg6752,zero,1,sci_transl_med,% of CD8+ T cells,Relative,Percentage,Cell percentage,Percentage,No
1926,10.1126:scitranslmed.adg6822_zero_fig1,10.1126:scitranslmed.adg6822,zero,1,sci_transl_med,Fraction of productive rearrangement,Relative,Percentage,Percentage,Percentage,No
1927,10.1126:scitranslmed.adg6822_zero_fig2,10.1126:scitranslmed.adg6822,zero,2,sci_transl_med,Frequency,Relative,Percentage,Percentage,Percentage,No
1928,10.1126:scitranslmed.adg6822_zero_fig3,10.1126:scitranslmed.adg6822,zero,3,sci_transl_med,Frequency,Relative,Percentage,Percentage,Percentage,No
1929,10.1126:scitranslmed.adg6822_zero_fig4,10.1126:scitranslmed.adg6822,zero,4,sci_transl_med,Frequency of AA soubles in T_eff2s,Relative,Percentage,Percentage,Percentage,No
1930,10.1126:scitranslmed.adg6822_zero_fig5,10.1126:scitranslmed.adg6822,zero,5,sci_transl_med,Fraction of autoreactivity promoting AA doublets,Relative,Percentage,Percentage,Percentage,No
1931,10.1126:scitranslmed.adg6822_zero_fig6,10.1126:scitranslmed.adg6822,zero,6,sci_transl_med,Fraction of autoreactivity promoting AA doublets,Relative,Percentage,Percentage,Percentage,No
1932,10.1126:scitranslmed.adg8982_zero_fig1,10.1126:scitranslmed.adg8982,zero,1,sci_transl_med,Endplate volume (mm3),Absolute,Measured value,Volume,Others,No
1933,10.1126:scitranslmed.adg8982_zero_fig2,10.1126:scitranslmed.adg8982,zero,2,sci_transl_med,Area of cartilage (%),Relative,Percentage,Percentage,Percentage,No
1934,10.1126:scitranslmed.adg8982_zero_fig3,10.1126:scitranslmed.adg8982,zero,3,sci_transl_med,Endplate volume (mm3),Absolute,Measured value,Volume,Others,No
1935,10.1126:scitranslmed.adg8982_zero_fig4,10.1126:scitranslmed.adg8982,zero,4,sci_transl_med,Area of cartilage (%),Relative,Percentage,Percentage,Percentage,No
1936,10.1126:scitranslmed.adh0908_zero_fig1,10.1126:scitranslmed.adh0908,zero,1,sci_transl_med,log2 fold change,Relative,Ratio,Ratio,Ratio,2
1937,10.1126:scitranslmed.adh0908_zero_fig2,10.1126:scitranslmed.adh0908,zero,2,sci_transl_med,log2 fold change,Relative,Ratio,Ratio,Ratio,2
1938,10.1126:scitranslmed.adh0908_zero_fig3,10.1126:scitranslmed.adh0908,zero,3,sci_transl_med,log2 fold change,Relative,Ratio,Ratio,Ratio,2
1939,10.1126:scitranslmed.adh7668_zero_fig1,10.1126:scitranslmed.adh7668,zero,1,sci_transl_med,"Virus load (E gene copies/g, x1e8)",Absolute,Measured value,Count,Count,No
1940,10.1126:scitranslmed.adi7244_zero_fig1,10.1126:scitranslmed.adi7244,zero,1,sci_transl_med,B cells (%),Relative,Percentage,Cell percentage,Percentage,No
1941,10.1126:scitranslmed.adi7244_zero_fig2,10.1126:scitranslmed.adi7244,zero,2,sci_transl_med,Naïve B cells (% B cells),Relative,Percentage,Cell percentage,Percentage,No
1942,10.1126:scitranslmed.adi7244_zero_fig3,10.1126:scitranslmed.adi7244,zero,3,sci_transl_med,FoB cells (% B cells),Relative,Percentage,Cell percentage,Percentage,No
1943,10.1126:science.abl3837_zero_fig1,10.1126:science.abl3837,zero,1,science,Length (µm),Absolute,Measured value,Length,Length,No
